age_gp,race_gp,outcome,outcome_unit,impact_lower_bound (2.5th percentile),impact_median,impact_upper_bound (97.5th percentile),impact_mean,impact_SD,substitution_impact_lower_bound (2.5th percentile),substitution_impact_median,substitution_impact_upper_bound  (97.5th percentile),substitution_impact_mean,substitution_impact_SD,combined_impact_lower_bound (2.5th percentile),combined_impact_median,combined_impact_upper_bound  (97.5th percentile),combined_impact_mean,combined_impact_SD,delta_lower_bound (2.5th percentile),delta_median,delta_upper_bound (97.5th percentile),delta_mean,delta_SD,combined_consumed_impact_lower_bound (2.5th percentile),combined_consumed_impact_median,combined_consumed_upper_bound (97.5th percentile),combined_consumed_impact_mean,combined_consumed_impact_SD,combined_unconsumed_impact_lower_bound (2.5th percentile),combined_unconsumed_impact_median,combined_unconsumed_upper_bound (97.5th percentile),combined_unconsumed_impact_mean,combined_unconsumed_impact_SD,current_intake_impact_lower_bound (2.5th percentile),current_intake_impact_median,current_intake_impact_upper_bound (97.5th percentile),current_intake_impact_mean,current_intake_impact_SD,CF_intake_impact_lower_bound (2.5th percentile),CF_intake_impact_median,CF_intake_impact_upper_bound  (97.5th percentile),CF_intake_impact_mean,CF_intake_impact_SD,current_intake_consumed_impact_lower_bound (2.5th percentile),current_intake_consumed_impact_median,current_intake_consumed_upper_bound (97.5th percentile),current_intake_consumed_impact_mean,current_intake_consumed_impact_SD,CF_intake_consumed_impact_lower_bound (2.5th percentile),CF_intake_consumed_impact_median,CF_intake_consumed_impact_upper_bound (97.5th percentile),CF_intake_consumed_impact_mean,CF_intake_consumed_impact_SD,current_intake_unconsumed_impact_lower_bound (2.5th percentile),current_intake_unconsumed_impact_median,current_intake_unconsumed_upper_bound (97.5th percentile),current_intake_unconsumed_impact_mean,current_intake_unconsumed_impact_SD,CF_intake_unconsumed_impact_lower_bound (2.5th percentile),CF_intake_unconsumed_impact_median,CF_intake_unconsumed_impact_upper_bound (97.5th percentile),CF_intake_unconsumed_impact_mean,CF_intake_unconsumed_impact_SD,inedible_impact_lower_bound (2.5th percentile),inedible_impact_median,inedible_upper_bound (97.5th percentile),inedible_consumed_impact_mean,inedible_impact_SD,wasted_impact_lower_bound (2.5th percentile),wasted_impact_median,wasted_unconsumed_upper_bound (97.5th percentile),wasted_unconsumed_impact_mean,wasted_impact_SD,current_intake_inedible_impact_lower_bound (2.5th percentile),current_intake_inedible_impact_median,current_intake_inedible_upper_bound (97.5th percentile),current_intake_inedible_impact_mean,current_intake_inedible_impact_SD,CF_intake_inedible_impact_lower_bound (2.5th percentile),CF_intake_inedible_impact_median,CF_intake_inedible_impact_upper_bound (97.5th percentile),CF_intake_inedible_impact_mean,CF_intake_inedible_impact_SD,current_intake_wasted_impact_lower_bound (2.5th percentile),current_intake_wasted_impact_median,current_intake_wasted_upper_bound (97.5th percentile),current_intake_wasted_impact_mean,current_intake_wasted_impact_SD,CF_intake_wasted_impact_lower_bound (2.5th percentile),CF_intake_wasted_impact_median,CF_intake_unconsumed_wasted_upper_bound (97.5th percentile),CF_intake_wasted_impact_mean,CF_intake_wasted_impact_SD
20-34,HIS,CED,MJ,-13993820.446513213,-13653753.329027362,-13637540.582451254,-13767386.441627271,211769.94045228997,0,0,0,0,0,-13993820.446513213,-13653753.329027362,-13637540.582451254,-13767386.441627271,211769.94045228997,-336457814.60590416,-327022370.1674942,-326110615.84747267,-330013138.6300866,6030446.448238788,-10237566.889312597,-9988505.178084437,-9986864.299604012,-10075319.505364344,151865.11544991116,-3756253.5572006246,-3665248.150942938,-3650676.2828472434,-3692066.9362629354,60225.62098823898,34266206.57161199,34282419.3181881,34622486.43567395,34396052.43078802,211769.94045229096,20628665.98916074,20628665.98916074,20628665.98916074,20628665.98916074,0,25640151.109919455,25641791.988399886,25890853.69962802,25728606.315679785,151865.11544989882,15653286.810315449,15653286.810315449,15653286.810315449,15653286.81031545,0,8626055.461692538,8640627.32978823,8731632.736045923,8667446.115108231,60225.62098824164,4975379.178845293,4975379.178845293,4975379.178845293,4975379.178845293,0,0,0,0,0,0,-3756253.5572006246,-3665248.150942938,-3650676.2828472434,-3692066.9362629354,60225.62098823898,0,0,0,0,0,0,0,0,0,0,8626055.461692538,8640627.32978823,8731632.736045923,8667446.115108231,60225.62098824164,4975379.178845293,4975379.178845293,4975379.178845293,4975379.178845293,0
20-34,HIS,FL,mrh-eq,-435135.9845781121,-424426.0614439635,-421748.51913755987,-427244.44068176876,7456.812154634076,0,0,0,0,0,-435135.9845781121,-424426.0614439635,-421748.51913755987,-427244.44068176876,7456.812154634076,-336457814.60590416,-327022370.1674942,-326110615.84747267,-330013138.6300866,6030446.448238788,-313935.25495466305,-306157.4977476343,-304698.7266673609,-308374.6858622853,5226.803832944337,-121200.72962344918,-118268.56369632919,-117049.79247019914,-118869.75481948355,2245.8859310192083,1136049.2090824754,1138726.7513888793,1149436.6745230271,1141545.1306266843,7456.812154633636,714300.6899449151,714300.6899449151,714300.6899449151,714300.6899449151,0,849641.922061169,851100.6931414427,858878.4503484718,853317.8812560937,5226.803832944587,544943.1953938084,544943.1953938084,544943.1953938084,544943.1953938084,0,286407.2870213058,287626.05824743607,290558.2241745558,288227.24937059026,2245.885931019145,169357.49455110676,169357.49455110676,169357.49455110676,169357.49455110676,0,0,0,0,0,0,-121200.72962344918,-118268.56369632919,-117049.79247019914,-118869.75481948355,2245.8859310192083,0,0,0,0,0,0,0,0,0,0,286407.2870213058,287626.05824743607,290558.2241745558,288227.24937059026,2245.885931019145,169357.49455110676,169357.49455110676,169357.49455110676,169357.49455110676,0
20-34,HIS,Food_price,USD,-8348061.001726093,-8003580.401327358,-7914486.01836131,-8093189.600426546,241031.93021005366,0,0,0,0,0,-8348061.001726093,-8003580.401327358,-7914486.01836131,-8093189.600426546,241031.93021005366,-336457814.60590416,-327022370.1674942,-326110615.84747267,-330013138.6300866,6030446.448238788,-5634380.491051959,-5410589.206910662,-5346796.442769689,-5466729.038489723,158976.78387088756,-2713680.5106741386,-2592991.1944166897,-2567689.5755916173,-2626460.561936822,82122.62085992395,18449252.933653437,18538347.316619486,18882827.917018216,18627956.515718672,241031.93021005066,10534766.915292129,10534766.915292129,10534766.915292129,10534766.915292129,0,12898807.978053926,12962600.74219491,13186392.0263362,13018740.573773963,158976.78387088768,7552011.535284239,7552011.535284239,7552011.535284239,7552011.535284239,0,5550444.955599508,5575746.574424574,5696435.890682023,5609215.941944708,82122.62085992096,2982755.380007886,2982755.380007886,2982755.380007886,2982755.380007886,0,0,0,0,0,0,-2713680.5106741386,-2592991.1944166897,-2567689.5755916173,-2626460.561936822,82122.62085992395,0,0,0,0,0,0,0,0,0,0,5550444.955599508,5575746.574424574,5696435.890682023,5609215.941944708,82122.62085992096,2982755.380007886,2982755.380007886,2982755.380007886,2982755.380007886,0
20-34,NHB,CED,MJ,-10227243.596064663,-9957955.665123552,-9752451.558587333,-9980335.954388427,250641.06409605592,0,0,0,0,0,-10227243.596064663,-9957955.665123552,-9752451.558587333,-9980335.954388427,250641.06409605592,-290807537.6523906,-285583104.48023725,-284629190.4747308,-287081532.25800806,3501131.007021549,-7507484.664162134,-7283544.926424904,-7155327.30307987,-7317131.633229184,187614.4511453653,-2719758.9319025264,-2674410.7386986464,-2597124.2555074687,-2663204.3211592436,65270.12266944812,22597782.1242924,22803286.2308286,23072574.16176971,22825666.520093482,250641.06409604714,12845330.565705046,12845330.565705046,12845330.565705046,12845330.565705046,0,16931330.182857648,17059547.80620268,17283487.543939907,17093134.51300696,187614.45114536164,9776002.879777785,9776002.879777785,9776002.879777785,9776002.879777785,0,5666451.941434735,5743738.424625913,5789086.61782979,5732532.007086509,65270.1226694466,3069327.6859272663,3069327.6859272663,3069327.6859272663,3069327.6859272663,0,0,0,0,0,0,-2719758.9319025264,-2674410.7386986464,-2597124.2555074687,-2663204.3211592436,65270.12266944812,0,0,0,0,0,0,0,0,0,0,5666451.941434735,5743738.424625913,5789086.61782979,5732532.007086509,65270.1226694466,3069327.6859272663,3069327.6859272663,3069327.6859272663,3069327.6859272663,0
20-34,NHB,FL,mrh-eq,-320052.94785461633,-314195.90554455237,-307827.8201087341,-314016.5921670947,6436.151433199849,0,0,0,0,0,-320052.94785461633,-314195.90554455237,-307827.8201087341,-314016.5921670947,6436.151433199849,-290807537.6523906,-285583104.48023725,-284629190.4747308,-287081532.25800806,3501131.007021549,-232236.73708348718,-227065.6406057988,-223389.6864099693,-227590.25193276684,4678.454647180311,-87816.2107711291,-87130.26493875362,-84438.13369876452,-86426.34023432778,1879.5442073910344,744563.366443492,750931.4518793104,756788.4941893739,750752.1385018526,6436.151433199679,436735.5463347581,436735.5463347581,436735.5463347581,436735.5463347581,0,557191.2119020983,560867.1660979276,566038.2625756159,561391.7774248956,4678.454647180182,333801.5254921289,333801.5254921289,333801.5254921289,333801.5254921289,0,187372.15454139357,190064.2857813827,190750.23161375822,189360.36107695688,1879.544207391073,102934.02084262915,102934.02084262915,102934.02084262915,102934.02084262915,0,0,0,0,0,0,-87816.2107711291,-87130.26493875362,-84438.13369876452,-86426.34023432778,1879.5442073910344,0,0,0,0,0,0,0,0,0,0,187372.15454139357,190064.2857813827,190750.23161375822,189360.36107695688,1879.544207391073,102934.02084262915,102934.02084262915,102934.02084262915,102934.02084262915,0
20-34,NHB,Food_price,USD,-7257182.040649379,-7038848.12012863,-6849195.245287171,-7048911.644928381,214906.6833394316,0,0,0,0,0,-7257182.040649379,-7038848.12012863,-6849195.245287171,-7048911.644928381,214906.6833394316,-290807537.6523906,-285583104.48023725,-284629190.4747308,-287081532.25800806,3501131.007021549,-4899715.093703006,-4759385.113614004,-4629094.601598933,-4762907.733990823,142464.50471052586,-2357466.946946366,-2279463.006514629,-2220100.6436882378,-2286003.9109375575,72519.62655223098,13768716.138892306,13958369.01373375,14176702.934254512,13968432.53853351,214906.68333943008,6919520.893605132,6919520.893605132,6919520.893605132,6919520.893605132,0,9544142.93137804,9674433.443393115,9814763.423482113,9677956.063769931,142464.50471052533,4915048.329779106,4915048.329779106,4915048.329779106,4915048.329779106,0,4224573.2075142665,4283935.570340662,4361939.5107724,4290476.47476359,72519.62655223318,2004472.5638260287,2004472.5638260287,2004472.5638260287,2004472.563826029,0,0,0,0,0,0,-2357466.946946366,-2279463.006514629,-2220100.6436882378,-2286003.9109375575,72519.62655223098,0,0,0,0,0,0,0,0,0,0,4224573.2075142665,4283935.570340662,4361939.5107724,4290476.47476359,72519.62655223318,2004472.5638260287,2004472.5638260287,2004472.5638260287,2004472.563826029,0
20-34,NHW,CED,MJ,-41374680.99767976,-41270250.59534508,-40771370.458009325,-41131847.17955523,339401.1095106983,0,0,0,0,0,-41374680.99767976,-41270250.59534508,-40771370.458009325,-41131847.17955523,339401.1095106983,-1016639614.7507242,-995543559.4246073,-966555639.9278344,-992774484.2770087,26468844.59664626,-30893946.681297798,-30787147.54480417,-30440285.087500844,-30702914.800660416,249664.02596170208,-10482978.380322019,-10480609.646163074,-10330960.70028959,-10428932.378894815,91675.48143129931,97574397.94081594,98073278.07815175,98177708.48048636,97934874.66236186,339401.109510705,56803027.48280658,56803027.48280658,56803027.48280658,56803027.482806586,0,73884747.21232347,74231609.66962689,74338408.8061205,74147376.9254831,249664.0259617549,43444462.124822676,43444462.124822676,43444462.124822676,43444462.124822676,0,23689526.05827347,23839175.00414696,23841543.738305885,23787497.736878693,91675.48143130081,13358565.357983876,13358565.357983876,13358565.357983876,13358565.357983878,0,0,0,0,0,0,-10482978.380322019,-10480609.646163074,-10330960.70028959,-10428932.378894815,91675.48143129931,0,0,0,0,0,0,0,0,0,0,23689526.05827347,23839175.00414696,23841543.738305885,23787497.736878693,91675.48143130081,13358565.357983876,13358565.357983876,13358565.357983876,13358565.357983878,0
20-34,NHW,FL,mrh-eq,-1282692.794770045,-1276015.3135732808,-1251349.6185051703,-1269703.6595833346,17378.412685289473,0,0,0,0,0,-1282692.794770045,-1276015.3135732808,-1251349.6185051703,-1269703.6595833346,17378.412685289473,-1016639614.7507242,-995543559.4246073,-966555639.9278344,-992774484.2770087,26468844.59664626,-943255.6161863474,-936631.6241688083,-919220.3706802583,-932846.6201438922,13067.917229825356,-339437.17858369707,-339383.6894044719,-332129.2478249138,-336857.0394394428,4425.136703809607,3236521.293316766,3261186.988384875,3267864.4695816385,3254875.3343949295,17378.412685288196,1985171.6748115942,1985171.6748115942,1985171.6748115942,1985171.6748115942,0,2439240.9916120875,2456652.245100637,2463276.2371181776,2452867.2410757216,13067.917229825816,1520020.6209318296,1520020.6209318296,1520020.6209318296,1520020.6209318296,0,797280.3017046787,804534.7432842366,804588.2324634625,802008.0933192079,4425.136703809676,465151.05387976486,465151.05387976486,465151.05387976486,465151.05387976486,0,0,0,0,0,0,-339437.17858369707,-339383.6894044719,-332129.2478249138,-336857.0394394428,4425.136703809607,0,0,0,0,0,0,0,0,0,0,797280.3017046787,804534.7432842366,804588.2324634625,802008.0933192079,4425.136703809676,465151.05387976486,465151.05387976486,465151.05387976486,465151.05387976486,0
20-34,NHW,Food_price,USD,-25238861.027802013,-25044994.908416584,-23730879.9934276,-24651925.15557323,863595.191118388,0,0,0,0,0,-25238861.027802013,-25044994.908416584,-23730879.9934276,-24651925.15557323,863595.191118388,-1016639614.7507242,-995543559.4246073,-966555639.9278344,-992774484.2770087,26468844.59664626,-17115246.521506865,-16996328.816818725,-16089971.28942063,-16720034.142183654,590289.9563711096,-8123614.506295157,-8048666.091597866,-7640908.704006982,-7931891.013389587,273443.97133509937,57869208.10683579,59183323.02182475,59377189.1412103,58790253.26898145,863595.1911184172,34138328.11340821,34138328.11340821,34138328.11340821,34138328.11340821,0,40531798.77752824,41438156.30492634,41557074.00961449,41161861.630291276,590289.9563711219,24441827.48810761,24441827.48810761,24441827.48810761,24441827.48810761,0,17337409.329307593,17745166.71689848,17820115.13159577,17628391.638690203,273443.97133509995,9696500.625300614,9696500.625300614,9696500.625300614,9696500.625300614,0,0,0,0,0,0,-8123614.506295157,-8048666.091597866,-7640908.704006982,-7931891.013389587,273443.97133509937,0,0,0,0,0,0,0,0,0,0,17337409.329307593,17745166.71689848,17820115.13159577,17628391.638690203,273443.97133509995,9696500.625300614,9696500.625300614,9696500.625300614,9696500.625300614,0
20-34,OTH,CED,MJ,-6801437.402803498,-6783759.041074618,-6745674.600058176,-6776599.01325442,29996.735097703782,0,0,0,0,0,-6801437.402803498,-6783759.041074618,-6745674.600058176,-6776599.01325442,29996.735097703782,-183670639.35127142,-178360881.65440613,-174532418.61432308,-178880634.1655578,4830606.757021094,-5047187.050916734,-5037123.633435154,-5008849.227430836,-5030733.81290086,20922.859310455216,-1754250.3518867753,-1746635.4076394616,-1736825.3726273458,-1745865.2003535663,9195.266205753716,18133968.444495253,18172052.885511696,18189731.247240588,18164892.8576915,29996.735097709316,11388293.844437078,11388293.844437078,11388293.844437078,11388293.844437078,0,13687578.544279378,13715852.950283697,13725916.367765274,13709463.129749402,20922.8593104537,8678729.316848543,8678729.316848543,8678729.316848543,8678729.316848543,0,4446389.900215881,4456199.935227996,4463814.87947531,4455429.727942101,9195.26620575381,2709564.527588535,2709564.527588535,2709564.527588535,2709564.527588535,0,0,0,0,0,0,-1754250.3518867753,-1746635.4076394616,-1736825.3726273458,-1745865.2003535663,9195.266205753716,0,0,0,0,0,0,0,0,0,0,4446389.900215881,4456199.935227996,4463814.87947531,4455429.727942101,9195.26620575381,2709564.527588535,2709564.527588535,2709564.527588535,2709564.527588535,0
20-34,OTH,FL,mrh-eq,-217385.0663699252,-216527.6577145247,-213383.70777327046,-215725.36252650587,2217.6344135890354,0,0,0,0,0,-217385.0663699252,-216527.6577145247,-213383.70777327046,-215725.36252650587,2217.6344135890354,-183670639.35127142,-178360881.65440613,-174532418.61432308,-178880634.1655578,4830606.757021094,-159246.98844844277,-158335.68247825245,-156146.00162549535,-157887.12988787814,1677.690234094224,-58189.13853549375,-58135.24122070405,-57234.869446996774,-57838.232638627705,564.2805247052434,615761.1479037589,618905.097845013,619762.5065004136,618102.8026569943,2217.6344135889876,402377.4401304884,402377.4401304884,402377.4401304884,402377.4401304884,0,463213.989683457,465403.6705362139,466314.97650640435,464955.11794583965,1677.6902340941442,307067.9880579617,307067.9880579617,307067.9880579617,307067.9880579617,0,152544.32151952348,153444.69329323084,153498.59060802043,153147.6847111544,564.2805247052611,95309.4520725267,95309.4520725267,95309.4520725267,95309.45207252672,0,0,0,0,0,0,-58189.13853549375,-58135.24122070405,-57234.869446996774,-57838.232638627705,564.2805247052434,0,0,0,0,0,0,0,0,0,0,152544.32151952348,153444.69329323084,153498.59060802043,153147.6847111544,564.2805247052611,95309.4520725267,95309.4520725267,95309.4520725267,95309.45207252672,0
20-34,OTH,Food_price,USD,-4218968.405568743,-4047154.62832895,-4034822.1413972736,-4103112.9758054824,108359.64100627573,0,0,0,0,0,-4218968.405568743,-4047154.62832895,-4034822.1413972736,-4103112.9758054824,108359.64100627573,-183670639.35127142,-178360881.65440613,-174532418.61432308,-178880634.1655578,4830606.757021094,-2884431.9594649496,-2761522.1291195545,-2755810.581521808,-2802644.3335924135,76491.5182299593,-1334837.0538720905,-1291644.654575452,-1273600.6200460214,-1300468.642213069,33123.26614729955,10962354.514422942,10974687.00135463,11146500.778594404,11030645.348831153,108359.6410062688,6927532.373025667,6927532.373025667,6927532.373025667,6927532.373025667,0,7760256.214661938,7765967.7622596845,7888877.592605077,7807089.966732543,76491.51822995783,5004445.633140132,5004445.633140132,5004445.633140132,5004445.633140132,0,3196687.359931556,3214731.3944609864,3257923.793757627,3223555.382098604,33123.266147300455,1923086.7398855337,1923086.7398855337,1923086.7398855337,1923086.739885534,0,0,0,0,0,0,-1334837.0538720905,-1291644.654575452,-1273600.6200460214,-1300468.642213069,33123.26614729955,0,0,0,0,0,0,0,0,0,0,3196687.359931556,3214731.3944609864,3257923.793757627,3223555.382098604,33123.266147300455,1923086.7398855337,1923086.7398855337,1923086.7398855337,1923086.739885534,0
35-44,HIS,CED,MJ,-9053296.730937835,-8811588.349210894,-8492623.914887499,-8784480.962334946,296023.27614870475,0,0,0,0,0,-9053296.730937835,-8811588.349210894,-8492623.914887499,-8784480.962334946,296023.27614870475,-219729547.45535022,-209209840.8220349,-193832743.7930442,-207505493.31478038,13709583.63337709,-6634603.895689333,-6458271.426212158,-6186877.289001071,-6424916.455077452,237409.4692951359,-2418692.835248507,-2353316.9229987487,-2305746.6258864235,-2359564.5072574974,59691.09350934176,22337877.5693143,22656842.0036377,22898550.385364633,22629734.616761748,296023.2761487041,13845253.654426802,13845253.654426802,13845253.654426802,13845253.654426804,0,16694838.226874007,16966232.36408508,17142564.833562285,16932877.39295039,237409.46929514196,10507960.93787294,10507960.93787294,10507960.93787294,10507960.93787294,0,5643039.342440286,5690609.639552608,5755985.551802374,5696857.223811361,59691.09350934483,3337292.7165538613,3337292.7165538613,3337292.7165538613,3337292.7165538613,0,0,0,0,0,0,-2418692.835248507,-2353316.9229987487,-2305746.6258864235,-2359564.5072574974,59691.09350934176,0,0,0,0,0,0,0,0,0,0,5643039.342440286,5690609.639552608,5755985.551802374,5696857.223811361,59691.09350934483,3337292.7165538613,3337292.7165538613,3337292.7165538613,3337292.7165538613,0
35-44,HIS,FL,mrh-eq,-290376.4722218253,-288421.46706171293,-274696.9144732738,-284291.80129738775,8994.036396192763,0,0,0,0,0,-290376.4722218253,-288421.46706171293,-274696.9144732738,-284291.80129738775,8994.036396192763,-219729547.45535022,-209209840.8220349,-193832743.7930442,-207505493.31478038,13709583.63337709,-208908.05194347314,-207818.64996093352,-196102.39247891452,-204089.92873304602,7473.466767120532,-81468.42027835187,-80602.81710077953,-78594.52199435935,-80201.8725643417,1551.9213030274243,766449.9218684341,780174.4744568735,782129.4796169857,776044.8086925481,8994.03639619287,491753.0073951602,491753.0073951602,491753.0073951602,491753.0073951602,0,569636.9478277914,581353.2053098103,582442.6072923498,577624.4840819228,7473.466767120434,373534.555348877,373534.555348877,373534.555348877,373534.55534887704,0,196812.97404064258,198821.26914706282,199686.87232463533,198420.32461062502,1551.9213030275462,118218.45204628319,118218.45204628319,118218.45204628319,118218.45204628319,0,0,0,0,0,0,-81468.42027835187,-80602.81710077953,-78594.52199435935,-80201.8725643417,1551.9213030274243,0,0,0,0,0,0,0,0,0,0,196812.97404064258,198821.26914706282,199686.87232463533,198420.32461062502,1551.9213030275462,118218.45204628319,118218.45204628319,118218.45204628319,118218.45204628319,0
35-44,HIS,Food_price,USD,-5010694.441933337,-4831566.179313605,-4752586.186835453,-4866705.923222931,139213.35852966577,0,0,0,0,0,-5010694.441933337,-4831566.179313605,-4752586.186835453,-4866705.923222931,139213.35852966577,-219729547.45535022,-209209840.8220349,-193832743.7930442,-207505493.31478038,13709583.63337709,-3372011.6870431076,-3223662.775043556,-3193177.1177077023,-3265018.3029957307,100707.17466679514,-1638682.7548902347,-1607903.404270049,-1559409.0691277515,-1601687.6202272028,42068.813652797115,11939325.130657578,12018305.12313572,12197433.385755457,12053444.86704505,139213.35852966542,7186738.943822122,7186738.943822122,7186738.943822122,7186738.943822122,0,8377128.490568707,8407614.147904554,8555963.059904113,8448969.675856734,100707.17466679668,5183951.372861008,5183951.372861008,5183951.372861008,5183951.372861008,0,3562196.6400888623,3610690.97523116,3641470.3258513464,3604475.1911883135,42068.81365279779,2002787.570961111,2002787.570961111,2002787.570961111,2002787.570961111,0,0,0,0,0,0,-1638682.7548902347,-1607903.404270049,-1559409.0691277515,-1601687.6202272028,42068.813652797115,0,0,0,0,0,0,0,0,0,0,3562196.6400888623,3610690.97523116,3641470.3258513464,3604475.1911883135,42068.81365279779,2002787.570961111,2002787.570961111,2002787.570961111,2002787.570961111,0
35-44,NHB,CED,MJ,-5969501.189790185,-5901240.740034886,-5866957.182283883,-5913162.456527621,54949.19135296039,0,0,0,0,0,-5969501.189790185,-5901240.740034886,-5866957.182283883,-5913162.456527621,54949.19135296039,-167856965.71888283,-166024501.4189865,-165765047.06828204,-166576434.73449242,1200289.716583062,-4332112.047188956,-4283550.796514878,-4275031.04746496,-4297600.446207565,32413.025095252884,-1637389.142601232,-1617689.943520011,-1591926.134818927,-1615562.0103200593,23998.758662270946,13546647.968812887,13580931.526563877,13649191.976319194,13592853.243056623,54949.19135296485,7679690.786529001,7679690.786529001,7679690.786529001,7679690.786529001,0,10115084.272302862,10123604.021352783,10172165.27202684,10137653.671045462,32413.025095241956,5840053.224837894,5840053.224837894,5840053.224837894,5840053.224837895,0,3431563.6965100323,3457327.505211118,3477026.70429234,3455199.572011166,23998.75866227248,1839637.5616911072,1839637.5616911072,1839637.5616911072,1839637.5616911072,0,0,0,0,0,0,-1637389.142601232,-1617689.943520011,-1591926.134818927,-1615562.0103200593,23998.758662270946,0,0,0,0,0,0,0,0,0,0,3431563.6965100323,3457327.505211118,3477026.70429234,3455199.572011166,23998.75866227248,1839637.5616911072,1839637.5616911072,1839637.5616911072,1839637.5616911072,0
